iter	Passed	Remaining
0	46	137979
1	80	120249
2	124	124000
3	164	123491
4	205	122962
5	253	126583
6	296	126575
7	344	128941
8	404	134478
9	453	135721
10	494	134434
11	578	144030
12	674	155090
13	767	163615
14	855	170213
15	931	173817
16	989	173543
17	1033	171157
18	1071	168082
19	1115	166211
20	1155	163930
21	1193	161590
22	1248	161584
23	1288	159819
24	1334	158795
25	1373	157091
26	1426	157035
27	1484	157580
28	1525	156254
29	1571	155565
30	1620	155176
31	1670	154893
32	1728	155434
33	1773	154718
34	1814	153721
35	1864	153543
36	1917	153535
37	1973	153814
38	2013	152885
39	2056	152152
40	2094	151188
41	2134	150325
42	2173	149447
43	2217	148972
44	2263	148639
45	2307	148175
46	2352	147802
47	2393	147181
48	2442	147107
49	2491	146983
50	2533	146481
51	2577	146126
52	2615	145439
53	2654	144808
54	2695	144315
55	2742	144202
56	2783	143709
57	2824	143262
58	2860	142596
59	2906	142433
60	2965	142855
61	3004	142396
62	3046	142029
63	3084	141499
64	3127	141235
65	3165	140710
66	3206	140350
67	3260	140573
68	3300	140207
69	3319	138926
70	3359	138575
71	3402	138370
72	3460	138744
73	3500	138398
74	3536	137925
75	3577	137629
76	3615	137240
77	3652	136813
78	3689	136434
79	3733	136285
80	3780	136254
81	3823	136075
82	3862	135741
83	3906	135600
84	3981	136538
85	4032	136633
86	4079	136586
87	4120	136356
88	4161	136116
89	4209	136106
90	4253	135966
91	4293	135699
92	4335	135527
93	4373	135192
94	4413	134972
95	4468	135177
96	4520	135275
97	4562	135119
98	4604	134927
99	4643	134673
100	4690	134621
101	4733	134475
102	4773	134264
103	4812	134013
104	4850	133748
105	4886	133398
106	4930	133295
107	5022	134496
108	5079	134724
109	5121	134567
110	5161	134346
111	5203	134177
112	5255	134283
113	5294	134030
114	5334	133832
115	5372	133562
116	5411	133351
117	5454	133208
118	5493	132991
119	5543	133042
120	5593	133077
121	5639	133041
122	5697	133275
123	5737	133078
124	5781	132976
125	5820	132754
126	5860	132575
127	5897	132316
128	5937	132147
129	5983	132091
130	6033	132141
131	6080	132111
132	6119	131922
133	6165	131868
134	6211	131829
135	6250	131623
136	6290	131467
137	6328	131249
138	6366	131030
139	6407	130898
140	6442	130630
141	6491	130659
142	6546	130790
143	6588	130676
144	6626	130471
145	6675	130492
146	6727	130560
147	6772	130509
148	6810	130321
149	6846	130080
150	6885	129908
151	6924	129752
152	6969	129683
153	7023	129790
154	7071	129794
155	7111	129642
156	7158	129625
157	7209	129678
158	7244	129444
159	7287	129349
160	7325	129183
161	7368	129079
162	7409	128955
163	7447	128791
164	7493	128752
165	7539	128720
166	7585	128686
167	7623	128509
168	7667	128449
169	7706	128287
170	7747	128171
171	7787	128044
172	7816	127737
173	7858	127627
174	7896	127469
175	7933	127302
176	7981	127298
177	8031	127326
178	8089	127492
179	8129	127365
180	8177	127358
181	8229	127415
182	8271	127332
183	8309	127166
184	8347	127024
185	8389	126928
186	8426	126757
187	8462	126582
188	8507	126532
189	8560	126601
190	8608	126603
191	8646	126454
192	8693	126442
193	8725	126205
194	8772	126194
195	8808	126008
196	8850	125923
197	8885	125744
198	8925	125628
199	8956	125389
200	9001	125342
201	9048	125339
202	9099	125381
203	9152	125444
204	9194	125358
205	9236	125278
206	9273	125127
207	9318	125089
208	9355	124928
209	9396	124835
210	9431	124672
211	9467	124502
212	9503	124346
213	9542	124237
214	9587	124192
215	9645	124325
216	9689	124268
217	9732	124197
218	9771	124084
219	9807	123931
220	9849	123852
221	9883	123681
222	9922	123564
223	9965	123501
224	10002	123368
225	10049	123347
